PLAYER_ID,LEAGUE_ID,LEAGUE_NAME,SEASON,FGM,PLAYER_GAMES,TM_GAMES,FGA,TPM,TPA,FTM,FTA,PERSONAL_FOULS,BLOCKS,MP,STEALS,ASSISTS,OREB,DREB,TURNOVERS,TM_MINUTES,TM_FGA,TM_FTA,TM_TURNOVERS,TM_FGM,TM_TPM,TM_TPA,TM_FTM,TM_BLOCKS,TM_STEALS,TM_ASSISTS,TM_OREB,TM_DREB,OPP_FGA,OPP_FTA,OPP_TURNOVERS,OPP_FGM,OPP_TPM,OPP_TPA,OPP_FTM,OPP_BLOCKS,OPP_STEALS,OPP_ASSISTS,OPP_OREB,OPP_DREB,FGM_30,FGA_30,TPM_30,TPA_30,FTM_30,FTA_30,FOULS_30,BLOCKS_30,STEALS_30,ASSISTS_30,OREB_30,DREB_30,TOV_30,FG_PCT,TP_PCT,FT_PCT,USG,ASSIST_PCT,BLOCK_PCT,OREB_PCT,DREB_PCT,FTM_RATE,STL_PCT,TOV_PCT
x11,,,2014,1,7,30,2,1,2,0,0,1,0,13,0,0,0,0,0,6100,1550,557,375,645,156,552,394,88,186,304,253,718,1572,605,402,634,199,600,422,80,174,316,315,736,2.307692308,4.615384615,2.307692308,4.615384615,0,0,2.307692308,0,0,0,0,0,0,0.5,0.5,,0.086490962,0,0,0,0,0,0,0
x12,,,2014,5,17,32,14,2,8,9,10,11,0,99,3,14,0,4,7,6450,1767,673,407,769,228,590,451,125,242,476,474,793,1734,538,378,693,184,617,346,129,208,482,354,631,1.515151515,4.242424242,0.606060606,2.424242424,2.727272727,3.03030303,3.333333333,0,0.909090909,4.242424242,0,1.212121212,2.121212121,0.357142857,0.25,0.9,0.133989319,0.259181125,0,0,0.045441336,0.642857143,0.019700316,0.275590551
x13,,,2014,113,35,35,282,55,147,83,110,63,37,1101,34,79,41,147,73,7074,1725,713,483,838,203,526,518,129,183,500,297,863,1952,488,349,875,193,561,336,118,249,437,291,689,3.079019074,7.683923706,1.498637602,4.005449591,2.261580381,2.997275204,1.716621253,1.008174387,0.926430518,2.152588556,1.117166213,4.005449591,1.989100817,0.40070922,0.37414966,0.754545455,0.20556386,0.146531516,0.034180808,0.053433629,0.163688911,0.294326241,0.019801141,0.180961824
x14,,,2014,0,12,34,2,0,2,0,0,2,0,18,0,0,0,1,1,6900,1726,747,440,816,249,625,530,182,166,526,330,821,1882,647,401,765,209,612,446,102,224,377,398,688,0,3.333333333,0,3.333333333,0,0,3.333333333,0,0,0,0,1.666666667,1.666666667,0,0,,0.092196193,0,0,0,0.062893082,0,0,0.333333333
x15,,,2014,186,35,35,331,1,5,133,222,89,70,1020,20,26,76,151,76,7100,1775,764,452,838,255,651,541,186,168,541,339,845,1941,662,407,789,216,637,458,102,233,388,409,710,5.470588235,9.735294118,0.029411765,0.147058824,3.911764706,6.529411765,2.617647059,2.058823529,0.588235294,0.764705882,2.235294118,4.441176471,2.235294118,0.561933535,0.2,0.599099099,0.274112317,0.062508465,0.074732347,0.100861698,0.167636113,0.401812689,0.012600516,0.150590473
x16,,,2014,2,14,32,5,0,0,0,3,9,0,38,0,1,1,6,3,6450,1874,612,388,818,216,629,450,161,221,400,351,868,1888,546,443,727,197,637,357,127,209,356,399,785,1.578947368,3.947368421,0,0,0,2.368421053,7.105263158,0,0,0.789473684,0.789473684,4.736842105,2.368421053,0.4,,0,0.124991891,0.045256806,0,0.029883247,0.160761019,0,0,0.321888412
x17,,,2014,13,17,31,31,7,17,3,9,11,2,152,3,2,5,11,3,6250,1635,632,365,690,192,561,434,119,199,388,321,695,1566,652,418,675,147,436,452,110,167,346,317,732,2.565789474,6.118421053,1.381578947,3.355263158,0.592105263,1.776315789,2.171052632,0.394736842,0.592105263,0.394736842,0.986842105,2.171052632,0.592105263,0.419354839,0.411764706,0.333333333,0.137032524,0.028207153,0.014555193,0.039048833,0.089387872,0.096774194,0.012681989,0.079030558
x18,,,2014,184,31,31,465,68,217,128,180,94,27,1086,35,87,17,136,104,6300,1613,588,389,664,161,566,416,90,192,315,277,745,1627,627,415,657,208,622,435,96,182,324,323,762,5.082872928,12.84530387,1.878453039,5.994475138,3.535911602,4.972375691,2.596685083,0.745856354,0.966850829,2.403314917,0.46961326,3.756906077,2.872928177,0.395698925,0.313364055,0.711111111,0.332661828,0.224050819,0.031170116,0.018983404,0.147743497,0.275268817,0.020584918,0.160444307
x19,,,2014,4,9,31,7,0,1,2,5,4,0,38,1,1,4,5,4,6300,1562,672,408,736,221,562,476,154,151,473,302,749,1698,583,370,690,190,555,396,98,203,342,356,623,3.157894737,5.526315789,0,0.789473684,1.578947368,3.947368421,3.157894737,0,0.789473684,0.789473684,3.157894737,3.947368421,3.157894737,0.571428571,0,0.4,0.193180065,0.054954641,0,0.143385491,0.150035723,0.285714286,0.016986788,0.303030303
x20,,,2014,1,3,31,2,0,0,0,0,0,0,12,0,0,0,2,3,6200,1657,539,356,696,209,603,366,55,192,409,314,673,1648,558,383,728,187,605,379,132,182,412,341,739,2.5,5,0,0,0,0,0,0,0,0,0,5,7.5,0.5,,,0.229613302,0,0,0,0.203813281,0,0,0.6
x21,,,2014,3,6,30,9,1,4,1,1,2,0,22,1,1,1,3,0,6025,1741,609,412,768,169,526,413,103,186,395,396,714,1613,657,397,723,204,572,445,85,224,374,290,677,4.090909091,12.27272727,1.363636364,5.454545455,1.363636364,1.363636364,2.727272727,0,1.363636364,1.363636364,1.363636364,4.090909091,0,0.333333333,0.25,1,0.213574179,0.09073112,0,0.051046344,0.163663528,0.111111111,0.02731737,0
x22,,,2014,107,29,34,281,52,138,61,74,47,0,940,40,119,14,77,76,6850,1874,723,434,813,236,626,487,132,263,497,497,836,1836,583,410,738,196,653,376,136,224,512,376,676,3.414893617,8.968085106,1.659574468,4.404255319,1.946808511,2.361702128,1.5,0,1.276595745,3.79787234,0.446808511,2.457446809,2.425531915,0.380782918,0.376811594,0.824324324,0.216198414,0.263960624,0,0.017394932,0.092593568,0.217081851,0.027558089,0.195091899
x23,,,2014,2,4,29,4,2,4,2,2,2,1,14,1,3,0,2,0,5874,1592,577,379,698,161,461,423,95,165,414,289,766,1684,526,349,672,228,673,360,81,195,414,338,678,4.285714286,8.571428571,4.285714286,8.571428571,4.285714286,4.285714286,4.285714286,2.142857143,2.142857143,6.428571429,0,4.285714286,0,0.5,0.5,1,0.184055641,0.474832938,0.083001272,0,0.152018634,0.5,0.043844741,0
x24,,,2014,68,31,32,144,5,19,52,84,67,45,858,18,42,50,103,36,6450,1610,742,442,652,169,524,476,131,187,356,374,698,1668,619,408,712,217,640,418,123,234,376,337,706,2.377622378,5.034965035,0.174825175,0.664335664,1.818181818,2.937062937,2.342657343,1.573426573,0.629370629,1.468531469,1.748251748,3.601398601,1.258741259,0.472222222,0.263157895,0.619047619,0.137145825,0.114862115,0.065814536,0.06960632,0.149623324,0.361111111,0.013584588,0.165929204
x25,,,2014,99,29,30,209,15,58,69,107,85,12,881,21,47,69,147,56,6050,1498,674,369,668,232,631,469,56,170,368,263,690,1620,535,322,731,242,654,381,80,160,455,268,661,3.371169126,7.116912599,0.510783201,1.975028377,2.349602724,3.643586833,2.894438138,0.408626561,0.715096481,1.60045403,2.349602724,5.005675369,1.90692395,0.473684211,0.25862069,0.644859813,0.198110026,0.12133095,0.017061357,0.102562024,0.210746945,0.330143541,0.015285864,0.179441169
x26,,,2014,36,31,31,90,6,26,49,61,71,2,602,16,101,7,45,56,6275,1712,679,367,743,214,626,489,102,120,453,282,744,1850,629,299,866,205,548,436,93,187,417,324,786,1.794019934,4.485049834,0.299003322,1.295681063,2.441860465,3.03986711,3.53820598,0.099667774,0.797342193,5.033222591,0.348837209,2.242524917,2.790697674,0.4,0.230769231,0.803278689,0.151538671,0.315227825,0.003202331,0.013663879,0.087839225,0.544444444,0.016043936,0.323999074
x27,,,2014,124,29,35,260,45,117,76,105,57,6,739,39,52,16,84,31,7100,2090,886,417,976,300,763,679,103,257,594,421,928,2052,793,456,894,218,666,555,125,231,493,370,815,5.033829499,10.55480379,1.826792963,4.749661705,3.085250338,4.262516915,2.313937754,0.243572395,1.583220568,2.110960758,0.649526387,3.410013532,1.258457375,0.476923077,0.384615385,0.723809524,0.223669601,0.135440512,0.008318249,0.024873988,0.124350776,0.292307692,0.030417333,0.091933571
